"X","PLT_CN","INVYR.x","FLDTYPCD","ECO_ID","COUNTYCD.x","LON","LAT","STDAGE","AgeGroup","Carbon_Mg_ha","cv_dbh","VPD","Elevation","MAT","MAP","pH_mean","bdod_mean","clay_mean","nitrogen_mean","FDis","PC1.CWM","PC2.CWM","Shade.tolerance.FDis","Drought.tolerance.FDis","WD_mean_add.FDis","LMA.FDis","Nmass.FDis","Pmass.FDis","Leaf.longevity.FDis","Max.height.FDis","Leaf.FDis","Shade.tolerance.CWM","Drought.tolerance.CWM","WD_mean_add.CWM","LMA.CWM","Nmass.CWM","Pmass.CWM","Leaf.longevity.CWM","Max.height.CWM","Leaf.CWM","clearcut","thinning","tending","years_since_treatment","treatment_cutting","pruning","weeding","cleaning"
1,"Plot_0001",2018,"Conifer Forest",80441,"群馬県",138.63,36.29,40,3,92.5847849516079,0.209242724934879,0.485134408602151,1031,8.1,1352,57.6666666666667,112.666666666667,262,390.333333333333,2.47764918108362,-0.612028980446129,-0.787971389016267,1.24316614391179,0.334510525003835,0.84403759558174,0.182878698589582,1.0535684516183,0.826981537912132,0.483319745985708,0.832359558572383,0.307873045419934,3.43631578947368,2.75526315789474,0.421874172448807,0.0777704350259282,17.3188202977846,1.46853850136224,15.7391286537095,28.7631578947368,0.0526315789473684,0,0,0,0,0,0,0,0
2,"Plot_0002",2018,"Conifer Forest",80441,"群馬県",138.68,36.07,52,4,81.5338394047325,0.255732760056337,0.421639785,934,8.4,1398,55,103,260.333333333333,316.666666666667,1.91443836753711,-1.42468808211905,-1.70585762608513,0.311490229996958,0.287069113144967,0.390628466909559,0.191462935562694,0.611783190695404,1.21861448168563,0.219022706397532,0.379259033098425,1.01318664134828,3.21241379310345,2.59172413793103,0.42832178068522,0.0717227641438603,13.9981575245045,3.74185337956445,14.6627242920583,37.3793103448276,0.793103448275862,0,0,0,0,0,0,0,0
3,"Plot_0003",2018,"Conifer Forest",80441,"群馬県",138.67,36.18,50,3,142.264541672631,0.190169948896303,0.499677419354839,891,9.4,1244,55,105.333333333333,281.666666666667,391.666666666667,0.321120431313345,-1.96001258253603,-1.77811891741973,0.0618212002641158,0.0209992655859659,0.0416527237521354,0.0723977828199035,0.0422936739960058,0.251133751091456,0.02103321063637,0.0911558731717416,0.0894670961838225,3.14073529411765,2.75558823529412,0.411596401078116,0.0793542414432491,12.0778000403438,4.16833727701785,17.1398650488407,39.4852941176471,0.985294117647059,0,1,0,23,0,0,0,0
4,"Plot_0004",2018,"Conifer Forest",80441,"群馬県",138.72,36.11,44,3,36.5313926133641,0.161140405211371,0.45760752688172,732,10.3,1192,56.3333333333333,105.666666666667,278.666666666667,382,2.26011544299649,-2.55820945542812,1.06405511807381,0.819694773304734,0.260465046934874,0.364251483104837,1.19634708614876,0.634533811035663,0.623694328066226,0.416000964571743,0.309122011157712,1.28742644019834,1.88518518518519,3.21814814814815,0.44925507085864,0.157717573480801,14.7331129565705,1.21320615028691,23.2391676642091,27.5925925925926,0.703703703703704,0,0,0,0,0,0,0,0
5,"Plot_0005",2018,"Conifer Forest",80441,"群馬県",138.72,36.14,56,4,140.112950736784,0.176142997822879,0.496801075268817,819,9.9,1215,55,109.333333333333,295.666666666667,371.666666666667,0,-1.96457189296925,-1.85228308501378,0,0,0,0,0,0,0,0,0,3.17,2.75,0.41,0.0775923918409506,11.96282374,4.254698741,16.9596241647564,40,1,0,1,0,23,0,0,0,0
6,"Plot_0006",2018,"Conifer Forest",80441,"群馬県",138.72,36.25,111,5,120.161069663495,0.384198448913382,0.558763440860215,539,11.9,1110,55.3333333333333,108.666666666667,261,382,0.881317812093532,-1.80330694116927,-1.75731443967917,0.104660675554274,0.119069047522436,0.276366469063442,0.0409692579735051,0.171507265328403,0.632862792313598,0.0896684596443806,0.199692487175646,0.409537472266369,3.21357142857143,2.69392857142857,0.421071428571429,0.0765196419928821,12.4501672030099,4.02721823714831,16.1564547656303,38.8214285714286,0.928571428571429,0,0,0,0,0,0,0,0
7,"Plot_0007",2018,"Conifer Forest",80441,"群馬県",138.76,36.07,45,3,44.8522712889772,0.255069641998466,0.444032258,949,9.6,1288,55.6666666666667,107,291.666666666667,323.333333333333,0.369894387073685,-1.95008759031688,-1.75481458504047,0.166864836568937,0.0337869522880807,0.0950574481108042,0.049312018680036,0.118284109926194,0.282151418111602,0.0526144346112675,2.77555756156289e-17,1.29526019539602e-16,3.09,2.73458333333333,0.413689803054662,0.0788434913895548,12.2884937379015,4.15642995787995,16.5029871899466,40,1,0,0,0,0,0,0,0,0
8,"Plot_0008",2018,"Conifer Forest",80441,"群馬県",138.76,36.21,60,4,77.0474729234912,0.337120311069164,0.585887097,382,12.5,1118,54.6666666666667,114.333333333333,278.333333333333,356.666666666667,1.90686705588875,-1.67695335998027,-1.41016432571559,0.421369987301037,0.0475669468828481,0.172046699152944,0.0287391862600848,0.0462737547822059,1.55420993371334,0.104285858661318,0.14597567360905,0.987930394636411,4.138,2.854,0.378,0.0810862088240818,12.5733054887407,1.6609397482,21.2965119623846,36,0.2,0,1,0,24,0,0,0,0
9,"Plot_0009",2018,"Conifer Forest",80441,"群馬県",138.76,36.29,60,4,119.832772252079,0.286369403697504,0.585107527,394,12.4,1136,54.6666666666667,108.666666666667,263.333333333333,385,2.23460983111963,-1.87469110141019,-1.71412097273309,0.493792953868402,0.0557425158783376,0.201617225569856,0.0336787338985369,0.0542270563853977,1.82133976607032,0.122209990618732,0.171065242510606,1.15773093121454,3.4725,2.7825,0.4,0.0786842096481791,12.1535992864815,3.44414905575,18.3149016015152,38.75,0.75,0,0,0,0,0,0,0,0
10,"Plot_0010",2018,"Conifer Forest",80428,"群馬県",138.76,36.36,64,4,167.718738676232,0.283298025357942,0.584677419,501,12,1161,54.3333333333333,107.666666666667,287.666666666667,384.666666666667,0.503944378414618,-1.83301684841583,-1.74843664065802,0.110488745090696,0.0248059511219557,0.128301870817181,0.0573756436183812,0.156499257326514,0.314416824086683,0.0344766215913224,0.158341381497421,0.267904678297581,3.11681818181818,2.76136363636364,0.415,0.0761309328393886,12.3954208427273,4.14475788913636,16.6592166109105,39.0909090909091,0.954545454545455,0,0,0,0,0,0,0,0
