"X","PLT_CN","INVYR.x","FLDTYPCD","ECO_ID","COUNTYCD.x","LON","LAT","STDAGE","AgeGroup","Carbon_Mg_ha","cv_dbh","VPD","Elevation","MAT","MAP","pH_mean","bdod_mean","clay_mean","nitrogen_mean","FDis","PC1.CWM","PC2.CWM","Shade.tolerance.FDis","Drought.tolerance.FDis","WD_mean_add.FDis","LMA.FDis","Nmass.FDis","Pmass.FDis","Leaf.longevity.FDis","Max.height.FDis","Leaf.FDis","Shade.tolerance.CWM","Drought.tolerance.CWM","WD_mean_add.CWM","LMA.CWM","Nmass.CWM","Pmass.CWM","Leaf.longevity.CWM","Max.height.CWM","Leaf.CWM","other_arbor","thinning_growth","pruning_artificial","thinning_removal","weeding_clearing","enrichment_planting","thinning_sanitation","thinning_release"
1,"Plot_001",2014,"Conifer Forest",40118,"Yueyang",113.874891633529,29.0657616082953,35,3,51.0602698286798,0.515595324469013,0.425887096774194,1190,12,1741,52.3333333333333,102.666666666667,227,378.333333333333,0,-1.51524982246117,-1.38495904528467,0,0,0,0,0,0,0,0,0,3.20997533631745,2.79821608637929,0.41,0.0589744198037889,21.4108085625,2.44392318225,22.0509391044924,30,1,0,0,0,0,0,0,0,0
2,"Plot_002",2014,"Conifer Forest",80101,"Changde",111.043806204616,29.7814465116577,25,2,29.7069236638864,0.309784386456823,0.623145161290323,185,17,1278,63.3333333333333,131.666666666667,270,194.333333333333,1.45779229944907,-2.05006077661371,-0.771460959899625,0.735056247911439,0.499921484597884,2.22044604925031e-16,0.822413539307331,0.339294140258552,0.284438638400456,0.176165143198582,0.656890531240728,1.95399252334028e-15,2.64710148086024,3.16255755880432,0.41,0.0923013016065133,19.9187253355,2.60215261665,24.492971896898,36,1,0,0,0,0,0,0,0,0
3,"Plot_003",2014,"Conifer Forest",80101,"Xiangxi",109.726719473215,29.0540370811629,16,2,23.2650048233282,0.42899114610692,0.607311828,471,16.3,1418,58.6666666666667,125.333333333333,312.666666666667,284.666666666667,0.950371676344459,-1.30192688835448,-1.10001900156619,0.371386861569116,0.137174825161003,0.323261390161085,0.13726935557017,0.12032125821826,0.140967025203231,0.174893686585073,0.0824892120098481,0.66641458573107,3.00831571060161,2.86910578673225,0.42371279445956,0.0613182731574944,21.0482379303495,2.40414847956583,20.6063472848093,30.3076923076923,0.876923076923077,0,0,0,0,0,0,0,0
4,"Plot_004",2014,"Conifer Forest",80101,"Changde",110.876448220096,29.0599911484127,19,2,11.7784054290828,0.414213251383775,0.575483870967742,313,16,1424,57.3333333333333,122.333333333333,321,276.666666666667,0.652642937807075,-1.43578901402064,-1.15690008293163,0.157286426346067,0.177373569075168,0.307424612542466,0.146874234984308,0.118142582433183,0.178046452067405,0.0901442565557114,0.0622055427311296,0.392288993221457,3.13048292260947,2.88353388637253,0.422272727272727,0.0629026233452636,21.0679088789519,2.38979608185871,21.3952257321939,30,0.931818181818182,0,0,0,0,0,0,0,0
5,"Plot_005",2014,"Conifer Forest",80101,"Xiangxi",109.850409244151,29.0192489027355,21,2,26.8575316690378,0.405552139776646,0.623602150537634,336,16.7,1413,61,128.333333333333,332,299.666666666667,1.93049473893173,-2.87771072352801,0.844209285405562,0.452618916414631,0.628246373998115,0.537022920169462,0.603764907491799,0.684270060433119,1.0314782531398,0.238212180486916,0.527451164407702,1.84574577843932e-15,1.87904774513681,3.91081864721769,0.440440875200965,0.144823589272909,15.8175199427959,2.22069759226388,24.1934531513238,39.21875,1,0,0,0,0,0,0,0,0
6,"Plot_006",2014,"Conifer Forest",40118,"Yueyang",113.709017636021,28.9971161848057,28,2,24.4150021207704,0.361447657996438,0.64002688172043,260,16.5,1482,58.3333333333333,123.333333333333,272,229.666666666667,0.115654179033805,-1.54121151926469,-1.35517758482909,0.0583158018655979,0.0396613488110616,8.62309145339927e-18,0.065246306178748,0.0269179534405645,0.0225659836604504,0.0139760890620046,0.0521145125642642,7.76078230805935e-17,3.18265136275157,2.81590256562322,0.41,0.0605922296000377,21.3383773378884,2.45160422275485,22.1694843856771,30.2912621359223,1,0,0,0,0,0,0,0,0
7,"Plot_007",2014,"Conifer Forest",40118,"Yueyang",113.791902761899,28.9946617858474,15,2,3.10768851519143,0.248965549923828,0.436424731,329,15.1,1577,62.3333333333333,129,281,200.666666666667,0,-2.85227720784253,0.148786168177943,0,0,0,0,0,0,0,0,0,1.80279069767442,3.70906976744186,0.41,0.1422916243106,17.680600495,2.83949676825,28.1560210855065,45,1,0,0,0,0,0,0,0,0
8,"Plot_008",2014,"Conifer Forest",80101,"Xiangxi",109.809667426783,28.9830801241584,18,2,25.2370326183027,0.493528521994552,0.61994623655914,401,16.4,1417,60.3333333333333,124,312,273,1.020255341405,-2.38884053307319,0.13770007758808,0.0569001432496926,0.244941862800898,0.228676699181843,0.421823112453481,0.101414327238613,0.201530404073338,0.29394562962675,0.312750858883657,0.705542395754015,1.77268665850673,3.58573351984613,0.417742660348621,0.130481466284861,17.9887325711619,2.76203985828168,25.340755153203,43.0263157894737,0.868421052631579,1,0,0,0,0,0,0,0
9,"Plot_009",2014,"Conifer Forest",80101,"Xiangxi",110.302282844127,28.9859973408685,11,2,17.5824295019912,0.321753108758712,0.483440860215054,673,14.9,1486,57,123,338,290.333333333333,0.439037793631336,-1.62011471543226,-1.26466530305231,0.221374110289873,0.150559462873898,3.483052626275e-17,0.247683175364889,0.102183933052364,0.0856633090146191,0.0530549899419028,0.197833237013419,1.06233105101388e-15,3.09960791367878,2.86965559077635,0.41,0.0655091025102054,21.1182432238726,2.47494856154412,22.5297690637876,31.1764705882353,1,0,0,0,0,0,0,0,0
10,"Plot_010",2014,"Conifer Forest",80101,"Changde",111.123055553571,28.9879135936759,21,2,24.1628609168384,0.41401235602969,0.619301075,214,16.8,1382,59,122.333333333333,268.666666666667,244.333333333333,0.743771581351566,-2.66127329564519,-0.0703202908881446,0.375028697914,0.255061981937696,2.22044604925031e-16,0.419598744544557,0.173109255233955,0.145121754285947,0.0898801751013173,0.335148230224861,8.88178419700125e-16,2.00381707462342,3.57894781300435,0.41,0.130389166523913,18.2134873617857,2.78298625596429,27.2838665167902,42.8571428571429,1,0,0,0,0,0,0,0,0
11,"Plot_011",2014,"Conifer Forest",80415,"Yueyang",113.092745900159,28.9717381387437,11,2,16.5688997320077,0.296187788288366,0.620591397849462,69,17.1,1362,57,131.666666666667,266,155.666666666667,0,-4.46982947858114,2.69531268140543,0,0,0,0,0,0,0,0,0,1.80279069767442,3.70906976744186,0.54,0.260101660605608,9.51428571428571,0.8125,28.1560210855065,30,1,0,0,0,0,0,0,0,0
12,"Plot_012",2014,"Conifer Forest",40118,"Yueyang",113.666675831054,28.9618141770374,29,2,18.0158622195247,0.265579790715494,0.590967742,265,16,1506,58,121,274.666666666667,255.666666666667,2.06935665654484,-0.941372593158969,-0.394026304958776,0.352812263998619,0.488266056427806,1.09207661460886,0.278757012913698,0.324133102303619,0.628478574062622,0.320181656035455,0.206119039727405,1.41102759155161,2.95925927715289,3.12675209927141,0.472832373045792,0.0691603791468328,20.1052308560481,2.11948113191766,17.9320895129435,28.2758620689655,0.646551724137931,0,0,0,0,0,0,0,0
13,"Plot_013",2014,"Conifer Forest",80101,"Changde",110.919213912961,30.0368486286806,28,2,34.7468141099796,0.458625271913537,0.476370967741936,439,16.1,1274,60,127,259.333333333333,251.666666666667,0.814622150536349,-1.48792619426939,-1.18314601179019,0.256034510220675,0.193050678357262,0.200515224925467,0.256342549225578,0.218111953250045,0.0728263488685535,0.0803393868843677,0.167701819818354,0.487490421069255,3.09030871854729,2.88219751098561,0.41816458814656,0.0659392593516038,20.9106801937147,2.44571692040196,22.4209895028466,30.9259259259259,0.91358024691358,0,0,0,0,0,0,0,0
14,"Plot_014",2014,"Conifer Forest",80101,"Changde",110.999958968259,28.9520252948799,24,2,32.0191085067394,0.384746254134145,0.575564516129032,483,15.4,1455,55,114.333333333333,297.333333333333,305.666666666667,1.58789370454329,-1.09034343454475,-0.842663283502327,0.379422705972646,0.258947906266328,0.705731792392021,0.184147785920437,0.282149580509694,0.329333146103497,0.262287606500655,0.109347263919614,1.167438977799,2.99743975130886,2.93271188577093,0.445151866579836,0.0632666984841496,20.4139755138048,2.3076423742239,19.4074831746327,29.3037974683544,0.746835443037975,0,0,0,0,0,0,0,0
15,"Plot_015",2014,"Conifer Forest",80415,"Yueyang",113.13327156084,28.9344032774058,9,1,6.67370499213547,0.335502004746502,0.620510752688172,83,17.2,1370,57.3333333333333,132,301.666666666667,154.666666666667,0.677302373572146,-4.15495495156678,2.60933645037096,0.0992734122957645,0.0054119001176228,0.086304638769498,0.452338888931751,0.19737392536944,0.135759013446375,0.13708515823905,0.0585812007646308,0.396464337918892,1.85178086667261,3.71161157147524,0.543448275862069,0.248288833684059,10.0736464162633,0.861169046977779,26.9313839290653,29.6551724137931,0.931034482758621,0,0,0,0,0,0,0,0
16,"Plot_016",2014,"Conifer Forest",80101,"Xiangxi",109.646558016118,28.9090450783635,11,2,14.8077538651113,0.322672552639154,0.606021505376344,358,16.8,1383,62.6666666666667,127.666666666667,305.666666666667,290.333333333333,1.14241495544856,-1.81262593602769,-0.99122572102169,0.556859276225877,0.388334583415899,0.0537578058835419,0.619067097815294,0.263255011739095,0.221014231928553,0.13604375894306,0.495853802303184,0.0685976160901433,2.87011348688292,3.02378504302941,0.412022471910112,0.0789688304226922,20.4881101120838,2.5268593991593,23.3605409563341,33.4831460674157,0.98876404494382,0,1,0,0,0,0,0,0
17,"Plot_017",2014,"Conifer Forest",80101,"Xiangxi",109.728627206589,28.9098989833846,28,2,30.2875906505582,0.481427326342787,0.60747311827957,409,16.4,1407,61,125.666666666667,294,273.333333333333,2.31570491568569,-2.81324626212631,1.26011677139741,0.861408216708948,0.965103051951063,0.572977858972604,1.13142659828773,0.930158789353325,0.932810119053819,0.107335491653215,0.245426936623403,3.97342977234267e-16,2.02264375755665,4.00249797738551,0.462822443729903,0.141502799594854,14.6797176781491,1.7411221696425,20.900244196112,34.0350877192982,1,0,0,0,0,0,0,0,0
